Name,link
inhaler УЗ,https://www.notion.so/medtechphystech/cc4f9142e93543f19e1904f96bdd446a
ингалятор контроль,https://www.notion.so/medtechphystech/e240833bc2bf451592a24256d52df8c4
автотележка,https://www.notion.so/medtechphystech/b61ee9eb3cae4f9599b543854c35c44c
тележка с батареей ,https://www.notion.so/medtechphystech/528b19e3a8e340d7a429ff4e568eaf9e
движ-тележка,https://www.notion.so/medtechphystech/3ed7dca0c0fc46c78617fd77ac9668d3
анализатор тест-систем,https://www.notion.so/medtechphystech/bdef3ca1bfa2413ca76b6232d44b98a8
термошейкер,https://www.notion.so/medtechphystech/85655e377e704f9ba9d9f6dd66871ea8
анализ для кардиоч,https://www.notion.so/medtechphystech/f7cf9bb5ea7d4757a3649612a6e91a8b
кардиочемодан,https://www.notion.so/medtechphystech/ab9bd79ca64344dfab881a1d4beb62d8
чемодан для почки,https://www.notion.so/medtechphystech/fca767e835664a9491d21dff5c3c3db8
анализатор систем тг,https://www.notion.so/medtechphystech/3dd07f639c254b57983dcf4d6dbedc71
транскрибатор,https://www.notion.so/medtechphystech/b9d7e556475246e9a7222074fc534887
chat w pdf,https://www.notion.so/medtechphystech/chat-w-pdf-e383841096b14cdbb6ba97dd3dc333fa
автоотчеты,https://www.notion.so/medtechphystech/565961c97b754f7c9abae35267d7bf6d
автозабор крови ,https://www.notion.so/medtechphystech/53cfac4cb9204189b14a1044cfbedbf2
умные стельки,https://www.notion.so/medtechphystech/cb3b55f89df445b2850cbc8beae04d6d